Cntxt	ID	Choice	x11	x12	x13	x14	x21	x22	x23	x24	x31	x32	x33	x34	AV1	AV2	AV3
1	92	1	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	92	1	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	92	2	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	92	2	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	93	1	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	93	3	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	93	1	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	93	3	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	93	3	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	93	1	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	93	3	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	93	2	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	93	2	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	94	3	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	94	2	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	94	3	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	94	1	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	94	2	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	94	2	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	94	1	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	94	1	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	94	1	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	101	1	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	101	3	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	101	2	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	101	2	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	101	3	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	101	1	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	101	2	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	101	3	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	101	3	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	102	2	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	102	2	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	102	3	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	102	1	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	102	3	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	102	1	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	102	2	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	102	3	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	102	1	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	105	1	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	105	1	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	105	1	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	105	2	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	105	3	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	105	3	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	105	1	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	105	1	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	105	3	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	106	2	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	106	1	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	106	2	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	106	1	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	106	1	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	106	2	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	106	3	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	106	2	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	106	2	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	107	1	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	107	2	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	107	3	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	107	1	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	107	1	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	107	2	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	107	3	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	107	2	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	107	1	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	113	2	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	113	2	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	113	1	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	113	1	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	113	3	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	113	1	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	113	3	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	113	2	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	113	2	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	114	2	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	114	3	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	114	1	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
1	114	3	505	100	15	1	545	50	15	2	525	0	20	3	1	1	1
1	114	1	525	100	20	1	525	50	10	2	505	0	15	3	1	1	1
1	114	1	505	0	20	3	525	100	10	1	525	50	10	2	1	1	1
1	114	3	545	50	10	2	505	0	10	3	545	100	20	1	1	1	1
1	114	2	545	50	10	2	545	0	20	1	505	100	10	3	1	1	1
1	114	2	505	0	10	1	525	100	20	3	545	50	15	2	1	1	1
1	115	2	545	50	15	2	505	100	20	3	525	0	15	1	1	1	1
1	115	3	525	100	15	3	505	0	15	1	545	50	20	2	1	1	1
1	115	3	525	0	20	3	545	50	15	2	505	100	10	1	1	1	1
