ID	CHOICE	STORES1	TRANSPORT1	CITY1	NOISE1	GREEN1	FOREIGN1	STORES2	TRANSPORT2	CITY2	NOISE2	GREEN2	FOREIGN2	STORES3	TRANSPORT3	CITY3	NOISE3	GREEN3	FOREIGN3	AGE_2	AGE_3	WOMAN_1	HOMEOWNER_1	CAROWNER_1	RESPCITY_2	RESPCITY_3	RESPCITY_4	JOB_1	NONWESTERN_1	WESTERN_1	draw	train_set	test_set
1333	1	10	5	2	3	4	0.1	15	10	4	4	1	0.2	2	15	5	1	2	0.3	1	0	1	0	1	1	0	0	1	0	0	0.2254984104500236	True	False
1333	1	5	2	5	2	4	0.1	10	5	1	3	1	0.2	15	10	2	4	2	0.3	1	0	1	0	1	1	0	0	1	0	0	0.2254984104500236	True	False
1333	2	5	5	2	4	1	0.3	10	10	4	1	2	0.4	15	15	5	2	3	0.1	1	0	1	0	1	1	0	0	1	0	0	0.2254984104500236	True	False
1338	1	10	10	4	1	4	0.2	15	15	5	2	1	0.3	2	2	1	3	2	0.4	1	0	0	0	0	0	0	1	1	0	0	0.8751245338732246	False	True
1338	3	10	10	5	4	2	0.3	15	15	1	1	3	0.4	2	2	2	2	4	0.1	1	0	0	0	0	0	0	1	1	0	0	0.8751245338732246	False	True
1338	3	5	2	4	3	2	0.4	10	5	5	4	3	0.1	15	10	1	1	4	0.2	1	0	0	0	0	0	0	1	1	0	0	0.8751245338732246	False	True
1338	3	2	10	1	4	2	0.1	5	15	2	1	3	0.2	10	2	4	2	4	0.3	1	0	0	0	0	0	0	1	1	0	0	0.8751245338732246	False	True
1339	1	15	10	2	2	1	0.2	2	15	4	3	2	0.3	5	2	5	4	3	0.4	1	0	0	0	1	0	0	1	1	0	0	0.36357631798761336	True	False
1339	1	15	2	1	2	4	0.3	2	5	2	3	1	0.4	5	10	4	4	2	0.1	1	0	0	0	1	0	0	1	1	0	0	0.36357631798761336	True	False
1339	3	2	10	2	1	4	0.4	5	15	4	2	1	0.1	10	2	5	3	2	0.2	1	0	0	0	1	0	0	1	1	0	0	0.36357631798761336	True	False
1339	2	5	10	4	2	1	0.4	10	15	5	3	2	0.1	15	2	1	4	3	0.2	1	0	0	0	1	0	0	1	1	0	0	0.36357631798761336	True	False
1356	2	10	5	1	2	2	0.4	15	10	2	3	3	0.1	2	15	4	4	4	0.2	1	0	0	0	1	0	0	1	1	0	0	0.5399599352125585	True	False
1356	2	15	5	4	4	1	0.1	2	10	5	1	2	0.2	5	15	1	2	3	0.3	1	0	0	0	1	0	0	1	1	0	0	0.5399599352125585	True	False
1356	3	10	15	1	3	1	0.4	15	2	2	4	2	0.1	2	5	4	1	3	0.2	1	0	0	0	1	0	0	1	1	0	0	0.5399599352125585	True	False
1356	2	15	15	5	4	4	0.4	2	2	1	1	1	0.1	5	5	2	2	2	0.2	1	0	0	0	1	0	0	1	1	0	0	0.5399599352125585	True	False
1359	2	5	15	2	1	2	0.3	10	2	4	2	3	0.4	15	5	5	3	4	0.1	0	1	0	0	0	0	1	0	0	0	0	0.5681032138189784	True	False
1359	1	2	15	4	2	3	0.3	5	2	5	3	4	0.4	10	5	1	4	1	0.1	0	1	0	0	0	0	1	0	0	0	0	0.5681032138189784	True	False
1359	2	5	5	1	1	3	0.2	10	10	2	2	4	0.3	15	15	4	3	1	0.4	0	1	0	0	0	0	1	0	0	0	0	0.5681032138189784	True	False
1359	3	15	15	4	1	2	0.1	2	2	5	2	3	0.2	5	5	1	3	4	0.3	0	1	0	0	0	0	1	0	0	0	0	0.5681032138189784	True	False
1361	3	15	10	1	3	3	0.3	2	15	2	4	4	0.4	5	2	4	1	1	0.1	1	0	0	0	1	0	0	1	1	0	0	0.22546336030595993	True	False
1361	1	10	5	2	3	4	0.1	15	10	4	4	1	0.2	2	15	5	1	2	0.3	1	0	0	0	1	0	0	1	1	0	0	0.22546336030595993	True	False
1361	1	5	2	5	2	4	0.1	10	5	1	3	1	0.2	15	10	2	4	2	0.3	1	0	0	0	1	0	0	1	1	0	0	0.22546336030595993	True	False
1361	3	5	5	2	4	1	0.3	10	10	4	1	2	0.4	15	15	5	2	3	0.1	1	0	0	0	1	0	0	1	1	0	0	0.22546336030595993	True	False
1363	2	5	15	2	1	2	0.3	10	2	4	2	3	0.4	15	5	5	3	4	0.1	1	0	1	0	1	0	0	0	1	0	0	0.5721467679844612	True	False
1363	2	2	15	4	2	3	0.3	5	2	5	3	4	0.4	10	5	1	4	1	0.1	1	0	1	0	1	0	0	0	1	0	0	0.5721467679844612	True	False
1363	2	5	5	1	1	3	0.2	10	10	2	2	4	0.3	15	15	4	3	1	0.4	1	0	1	0	1	0	0	0	1	0	0	0.5721467679844612	True	False
1363	2	15	15	4	1	2	0.1	2	2	5	2	3	0.2	5	5	1	3	4	0.3	1	0	1	0	1	0	0	0	1	0	0	0.5721467679844612	True	False
1366	2	10	5	1	2	2	0.4	15	10	2	3	3	0.1	2	15	4	4	4	0.2	0	1	1	0	1	0	1	0	0	1	0	0.6609517950296032	True	False
1366	3	15	5	4	4	1	0.1	2	10	5	1	2	0.2	5	15	1	2	3	0.3	0	1	1	0	1	0	1	0	0	1	0	0.6609517950296032	True	False
